bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
0.6545454,0.22619048,0.89830506,0.6388889,2
0.36,0.04761905,0.6440678,0.4027778,2
0.68,0.30952382,0.91525424,0.6944444,2
0.6181818,0.20238096,0.8135593,0.6805556,2
0.5527273,0.26190478,0.84745765,0.7083333,2
0.17818181,0.45238096,0.22033899,0.083333336,0
0.3090909,0.48809522,0.2542373,0.21527778,0
0.6872727,0.6785714,0.5254237,0.3888889,1
0.33454546,0.95238096,0.3898305,0.4722222,0
0.20727272,0.5952381,0.3559322,0.29166666,0
0.32,0.6904762,0.20338982,0.33333334,0
0.7490909,0.79761904,0.42372882,0.2847222,1
0.6909091,0.3809524,0.8135593,0.9166667,2
0.37818182,0.5,0.2542373,0.18055555,1
0.38545454,0.071428575,0.6101695,0.3472222,2
0.05090909,0.70238096,0.30508474,0.25,0
0.46545455,0.023809524,0.69491524,0.6666667,2
0.5672727,0.22619048,0.7457627,0.5694444,2
0.21818182,0.6547619,0.30508474,0.2777778,0
0.47636363,0.083333336,0.7288136,0.5694444,2
0.17454545,0.6547619,0.2881356,0.22222222,0
0.62545455,0.30952382,0.7627119,0.875,2
0.5163636,0.32142857,0.7288136,0.6527778,2
0.5345455,0.35714287,0.7288136,0.7777778,2
0.2581818,0.77380955,0.3898305,0.5486111,0
0.2509091,0.47619048,0.3220339,0.097222224,0
0.2509091,0.52380955,0.23728813,0.2361111,0
0.36,0.7619048,0.47457626,0.375,0
0.65090907,0.7619048,0.40677965,0.33333334,1
0.2,0.7380952,0.15254237,0.16666667,0
0.55636364,0.17857143,0.6779661,0.5625,2
0.5709091,0.22619048,0.7288136,0.8194444,2
0.7309091,0.6785714,0.42372882,0.20833333,1
0.20363636,0.6666667,0.13559322,0.25,0
0.6909091,0.4047619,0.89830506,0.7083333,2
0.27272728,0.6785714,0.30508474,0.5277778,0
0.24363637,0.48809522,0.13559322,0.30555555,0
0.7418182,0.29761904,0.8305085,0.7638889,2
0.56,0.10714286,0.6779661,0.6041667,2
0.65818185,0.6785714,0.5084746,0.30555555,1
0.68,0.64285713,0.4915254,0.4861111,1
0.37818182,0.9047619,0.42372882,0.5,0
0.21818182,0.4047619,0.44067797,0.3125,0
0.6036364,0.11904762,0.6440678,0.4861111,2
0.4909091,0.85714287,0.3220339,0.5277778,0
0.68363637,0.71428573,0.40677965,0.2361111,1
0.75272727,0.8214286,0.55932206,0.5138889,1
0.23272727,0.5714286,0.30508474,0.1736111,0
0.9418182,0.5595238,0.15254237,0.2777778,1
0.8363636,0.3452381,0.9830508,0.875,2
0.8618182,0.79761904,0.59322035,0.3611111,1
0.51272726,0.16666667,0.62711865,0.5833333,2
0.65090907,0.3809524,0.9830508,0.8333333,2
0.72,0.7619048,0.5762712,0.3472222,1
0.5090909,0.60714287,0.10169491,0.15277778,1
0.29454544,0.8333333,0.47457626,0.35416666,0
0.6472727,0.35714287,0.69491524,0.75,2
0.34181818,0.64285713,0.4915254,0.3611111,0
0.50545454,1.0,0.37288135,0.41666666,0
0.52363634,0.5714286,0.33898306,0.22222222,1
0.7781818,0.8095238,0.55932206,0.5,1
0.26909092,0.42857143,0.10169491,0.15277778,0
0.52363634,0.16666667,0.69491524,0.4722222,2
0.16363636,0.63095236,0.20338982,0.21527778,0
0.51272726,0.52380955,0.2542373,0.2638889,1
0.47636363,0.32142857,0.7288136,0.7222222,2
0.29818183,0.64285713,0.40677965,0.45833334,0
0.49818182,0.6904762,0.42372882,0.4027778,0
0.48,0.071428575,0.6440678,0.44444445,2
0.7236364,0.9047619,0.6440678,0.5833333,1
0.34545454,0.5833333,0.33898306,0.3472222,0
0.10909091,0.75,0.3559322,0.41666666,0
0.6690909,0.63095236,0.47457626,0.19444445,1
0.8036364,0.9166667,0.4915254,0.44444445,1
0.4909091,0.75,0.37288135,0.22916667,1
0.33454546,0.85714287,0.37288135,0.2361111,0
0.32,0.41666666,0.2542373,0.1388889,1
0.41454545,0.5952381,0.5084746,0.19444445,1
0.14909092,0.48809522,0.2542373,0.125,0
0.23636363,0.4642857,0.27118644,0.055555556,0
0.22181818,0.5952381,0.22033899,0.3472222,0
0.24727273,0.5595238,0.15254237,0.25694445,0
0.63272727,0.35714287,0.88135594,0.8194444,2
0.47272727,0.15476191,0.6440678,0.4722222,2
0.6036364,0.23809524,0.84745765,0.7361111,2
0.26909092,0.5595238,0.27118644,0.16666667,0
0.28,0.71428573,0.20338982,0.5416667,0
0.10545454,0.5714286,0.33898306,0.2847222,0
0.18545455,0.5952381,0.10169491,0.33333334,0
0.47272727,0.16666667,0.7288136,0.6388889,2
0.45090908,0.1904762,0.7118644,0.5972222,2
0.49454546,0.5,0.3559322,0.25,1
0.6363636,0.22619048,0.7457627,0.5694444,2
0.087272726,0.5952381,0.2542373,0.055555556,0
0.52,0.22619048,0.7457627,0.5555556,2
0.5090909,0.23809524,0.7288136,0.6666667,2
0.56,0.22619048,0.779661,0.625,2
0.6363636,0.3452381,0.89830506,0.8333333,2
0.15636364,0.47619048,0.20338982,0.041666668,0
0.31636363,0.63095236,0.3898305,0.33333334,0
0.59272724,0.17857143,0.69491524,0.875,2
0.27636364,0.63095236,0.30508474,0.33333334,0
0.50545454,0.6904762,0.3898305,0.4027778,1
0.083636366,0.63095236,0.20338982,0.1736111,0
0.6690909,0.33333334,0.89830506,0.75,2
0.63272727,0.3690476,0.9661017,0.8611111,2
0.31272727,0.4642857,0.30508474,0.2847222,0
0.16,0.5833333,0.16949153,0.125,0
0.6545454,0.5714286,0.30508474,0.19444445,1
0.20727272,0.61904764,0.033898305,0.19444445,0
0.40363637,0.41666666,0.2542373,0.055555556,1
0.13818182,0.41666666,0.30508474,0.097222224,0
0.65818185,0.6666667,0.44067797,0.2986111,1
0.56,0.44047618,0.45762712,0.33333334,1
0.60727274,0.3690476,0.84745765,0.9166667,2
0.29454544,0.47619048,0.3559322,0.19444445,0
0.5418182,0.5,0.22033899,0.2777778,1
0.49818182,0.13095239,0.7966102,0.5555556,2
0.53090906,0.5714286,0.3898305,0.16666667,1
0.59636366,0.22619048,0.7966102,0.5972222,2
0.27272728,0.5952381,0.23728813,0.4861111,0
0.36727273,0.64285713,0.13559322,0.2361111,0
0.6218182,0.25,0.8305085,1.0,2
0.5018182,0.47619048,0.30508474,0.24305555,1
0.72727275,0.4642857,0.9830508,0.7916667,2
0.33818182,0.6547619,0.3220339,0.2777778,0
0.53090906,0.26190478,0.7966102,0.6944444,2
0.16727273,0.6785714,0.2542373,0.30555555,0
0.24363637,0.8214286,0.30508474,0.3472222,0
0.47272727,0.16666667,0.59322035,0.6527778,2
0.36363637,0.71428573,0.3898305,0.3611111,0
0.63272727,0.70238096,0.47457626,0.30555555,1
0.14909092,0.5,0.2542373,0.16666667,0
0.09090909,0.48809522,0.2881356,0.1388889,0
0.40363637,0.16666667,0.6101695,0.4861111,2
0.21818182,0.53571427,0.2542373,0.2013889,0
0.3090909,0.6547619,0.18644068,0.2361111,0
0.29090908,0.6904762,0.27118644,0.44444445,0
0.49454546,0.4642857,0.3898305,0.2638889,1
0.68,0.70238096,0.6440678,0.3888889,1
0.18909091,0.5595238,0.3220339,0.18055555,0
0.6981818,0.13095239,0.779661,0.7222222,2
0.18909091,0.44047618,0.33898306,0.083333336,0
0.6981818,0.60714287,0.42372882,0.29166666,1
0.44727272,0.5,0.7966102,0.7083333,2
0.26181817,0.89285713,0.30508474,0.2638889,0
0.64363635,0.44047618,0.9830508,0.8333333,2
0.68,0.5,0.9491525,0.8055556,2
0.59636366,0.52380955,0.3220339,0.19444445,1
0.15636364,0.4642857,0.3898305,0.1736111,0
0.13090909,0.5833333,0.5084746,0.2361111,0
0.24363637,0.53571427,0.3220339,0.15972222,0
0.6618182,0.8214286,0.42372882,0.16666667,1
0.52363634,0.15476191,0.7627119,0.6111111,2
0.22181818,0.8214286,0.30508474,0.33333334,0
0.18545455,0.75,0.20338982,0.33333334,0
0.56363636,0.61904764,0.3898305,0.31944445,1
0.19636364,0.64285713,0.45762712,0.49305555,0
0.14181818,0.5595238,0.3898305,0.20833333,0
0.43636364,0.5833333,0.6440678,0.3611111,0
0.46545455,0.083333336,0.6779661,0.5694444,2
0.52,0.6547619,0.30508474,0.20833333,1
0.7054545,0.6666667,0.2542373,0.15277778,1
0.16363636,0.5595238,0.22033899,0.2777778,0
0.48727274,0.071428575,0.7118644,0.5416667,2
0.21818182,0.4642857,0.15254237,0.13194445,0
0.5854545,0.14285715,0.6440678,0.5277778,2
0.4181818,0.0952381,0.7627119,0.6111111,2
0.6218182,0.60714287,0.3898305,0.4722222,1
0.13090909,0.45238096,0.22033899,0.125,0
0.70181817,0.70238096,0.4915254,0.3472222,1
0.30545455,0.5714286,0.2542373,0.1388889,0
0.13818182,0.72619045,0.2881356,0.30555555,0
0.65090907,0.25,0.779661,0.8333333,2
0.5345455,0.14285715,0.7288136,0.5972222,2
0.3890909,0.64285713,0.3898305,0.43055555,0
0.34181818,0.61904764,0.3898305,0.44444445,0
0.7236364,0.70238096,0.42372882,0.4027778,1
0.64363635,0.5,0.44067797,0.27083334,1
0.06909091,0.47619048,0.22033899,0.19444445,0
0.5272727,0.5595238,0.3559322,0.30555555,1
0.47636363,0.41666666,0.3220339,0.15277778,1
0.59272724,0.3809524,0.8135593,0.75,2
0.5490909,0.071428575,0.7118644,0.6180556,2
0.32363635,0.8214286,0.5254237,0.5625,0
0.51272726,0.11904762,0.7627119,0.4652778,2
0.5490909,0.2857143,0.7288136,0.6319444,2
0.36727273,0.7619048,0.42372882,0.4375,0
0.49818182,0.17857143,0.6440678,0.41666666,2
0.3272727,0.70238096,0.16949153,0.2013889,0
0.22545454,0.72619045,0.2881356,0.3472222,0
0.42545456,0.0952381,0.6101695,0.44444445,2
0.40363637,0.70238096,0.42372882,0.5763889,0
0.25454545,0.6666667,0.15254237,0.29166666,0
0.67636365,0.22619048,0.86440676,0.7916667,2
0.5272727,0.13095239,0.6440678,0.5972222,2
0.5345455,0.27380952,0.7288136,0.6805556,2
0.49454546,0.0952381,0.7118644,0.4722222,2
0.37454545,0.5,0.15254237,0.25,1
0.5854545,0.29761904,0.8305085,0.6666667,2
0.27636364,0.54761904,0.3559322,0.1388889,0
0.16,0.41666666,0.15254237,0.041666668,0
0.3090909,0.70238096,0.45762712,0.3611111,0
0.52363634,0.20238096,0.7627119,0.6944444,2
0.21090908,0.6547619,0.3559322,0.0625,0
0.3272727,0.52380955,0.30508474,0.33333334,0
0.71272725,0.85714287,0.37288135,0.2986111,1
0.6,0.3452381,0.9830508,0.8611111,2
0.6036364,0.30952382,0.6101695,0.7361111,2
0.20727272,0.8214286,0.30508474,0.43055555,0
0.23636363,0.96428573,0.3220339,0.30555555,0
0.6690909,0.33333334,0.84745765,0.7916667,2
0.27636364,0.6904762,0.20338982,0.2361111,0
0.3272727,0.6547619,0.2881356,0.1736111,0
0.6727273,0.75,0.3559322,0.30555555,1
1.0,0.4642857,0.9830508,0.9305556,2
0.3490909,0.1904762,0.6440678,0.5555556,2
0.86545455,0.4642857,0.9491525,0.8055556,2
0.65818185,0.14285715,0.779661,0.8333333,2
0.4109091,0.15476191,0.779661,0.5277778,2
0.80727273,0.30952382,1.0,0.8194444,2
0.27272728,0.48809522,0.40677965,0.2361111,0
0.48727274,0.16666667,0.6779661,0.5694444,2
0.66545457,0.26190478,0.88135594,0.7916667,2
0.21090908,0.6547619,0.0,0.125,0
0.2,0.71428573,0.37288135,0.29166666,0
0.6690909,0.77380955,0.4915254,0.375,1
0.47636363,0.5595238,0.44067797,0.3472222,1
0.41454545,0.25,0.69491524,0.5416667,2
0.2,0.4642857,0.22033899,0.25,0
0.27636364,0.5714286,0.3559322,0.43055555,0
0.0,0.2857143,0.27118644,0.097222224,0
0.29454544,0.4642857,0.06779661,0.20833333,0
0.65090907,0.33333334,0.88135594,0.7361111,2
0.16727273,0.7380952,0.3559322,0.20833333,0
0.64,0.6547619,0.3898305,0.25,1
0.56,0.13095239,0.62711865,0.5277778,2
0.37818182,0.42857143,0.2542373,0.18055555,1
0.33818182,0.64285713,0.5084746,0.3263889,0
0.66545457,0.30952382,0.84745765,0.8472222,2
0.123636365,0.3690476,0.3898305,0.18055555,0
0.52363634,0.04761905,0.6440678,0.5138889,2
0.58181816,0.39285713,0.45762712,0.1736111,1
0.38545454,0.61904764,0.40677965,0.38194445,0
0.3090909,0.6785714,0.3559322,0.30555555,0
0.6981818,0.8095238,0.44067797,0.2777778,1
0.62545455,0.8095238,0.5254237,0.375,1
0.26909092,0.5119048,0.23728813,0.30555555,0
0.53818184,0.41666666,0.33898306,0.0,1
0.65090907,0.26190478,0.8135593,0.7916667,2
0.52,0.5595238,0.3220339,0.2777778,1
0.3272727,0.71428573,0.27118644,0.3888889,0
0.2581818,0.95238096,0.40677965,0.4027778,0
0.47636363,0.20238096,0.6779661,0.6944444,2
0.6181818,0.22619048,0.9491525,0.7777778,2
0.56363636,0.16666667,0.7288136,0.75,2
0.7309091,0.47619048,0.9491525,0.75,2
0.58181816,0.23809524,0.62711865,0.7777778,2
0.23636363,0.48809522,0.45762712,0.29166666,0
0.17818181,0.4047619,0.22033899,0.19444445,0
0.30545455,0.6904762,0.13559322,0.3472222,0
0.27272728,0.9047619,0.3220339,0.33333334,0
0.27272728,0.54761904,0.23728813,0.22222222,0
0.6363636,0.60714287,0.3559322,0.2986111,1
0.20363636,0.3452381,0.18644068,0.104166664,0
0.18909091,0.88095236,0.45762712,0.2986111,0
0.61454546,0.77380955,0.6779661,0.44444445,1
0.11636364,0.6904762,0.2542373,0.30555555,0
0.6290909,0.32142857,0.7457627,0.6180556,2
0.13090909,0.4642857,0.2881356,0.18055555,0
0.14909092,0.35714287,0.2542373,0.2361111,0
0.3927273,0.0,0.7288136,0.6388889,2
0.45090908,0.30952382,0.7627119,0.6041667,2
0.47636363,0.39285713,0.86440676,0.9027778,2
0.5090909,0.011904762,0.66101694,0.5,2
0.59272724,0.15476191,0.5254237,0.5347222,2
0.14181818,0.5714286,0.30508474,0.20833333,0
0.09090909,0.95238096,0.44067797,0.4722222,0
0.11272727,0.33333334,0.23728813,0.097222224,0
0.3272727,0.53571427,0.16949153,0.1388889,0
0.24727273,0.6785714,0.30508474,0.25,0
0.14181818,0.47619048,0.2542373,0.2777778,0
0.3709091,0.96428573,0.3220339,0.4027778,0
0.7054545,0.3809524,0.9830508,0.7777778,2
0.4690909,0.27380952,0.8135593,0.6527778,2
0.20363636,0.79761904,0.44067797,0.22222222,0
0.12727273,0.52380955,0.3220339,0.13194445,0
0.59636366,0.11904762,0.8135593,0.7222222,2
0.61454546,0.7619048,0.6440678,0.3472222,1
0.40727273,0.10714286,0.6101695,0.5208333,2
0.2509091,0.6666667,0.22033899,0.2638889,0
0.52,0.29761904,0.8305085,0.6388889,2
0.6181818,0.16666667,0.6779661,0.5347222,2
0.51272726,0.21428572,0.8305085,0.7222222,2
0.53818184,0.17857143,0.84745765,0.6041667,2
0.48727274,0.22619048,0.8135593,0.6388889,2
0.32,0.44047618,0.3220339,0.2777778,0
0.31636363,0.6904762,0.6101695,0.44444445,0
0.123636365,0.52380955,0.30508474,0.2777778,0
0.67636365,0.78571427,0.5254237,0.375,1
0.43636364,0.78571427,0.40677965,0.4722222,0
0.40363637,0.64285713,0.33898306,0.3888889,0
0.3927273,0.53571427,0.40677965,0.5555556,0
0.7236364,0.5952381,0.4915254,0.375,1
0.35272726,0.75,0.44067797,0.4861111,0
0.17090909,0.64285713,0.3559322,0.22222222,0
0.24,0.70238096,0.3898305,0.20833333,0
0.32,0.071428575,0.7118644,0.5416667,2
0.48363635,0.6666667,0.27118644,0.22916667,1
0.48363635,0.17857143,0.66101694,0.5833333,2
0.40727273,0.035714287,0.62711865,0.4722222,2
0.3272727,0.5952381,0.55932206,0.44444445,0
0.48,0.083333336,0.6101695,0.41666666,2
0.4,0.72619045,0.42372882,0.22222222,0
0.41454545,0.13095239,0.8135593,0.5555556,2
0.036363635,0.35714287,0.10169491,0.055555556,0
0.48727274,0.0952381,0.6440678,0.41666666,2
0.38181818,0.071428575,0.69491524,0.625,2
0.29818183,0.5833333,0.3898305,0.15277778,0
0.43272728,0.05952381,0.6101695,0.45833334,2
0.64363635,0.33333334,0.9661017,0.9027778,2
0.3890909,0.13095239,0.62711865,0.5555556,2
0.77454543,0.32142857,0.7966102,0.7777778,2
0.5345455,0.4047619,0.2881356,0.2638889,1
0.68363637,0.5714286,0.40677965,0.27083334,1
0.6981818,0.72619045,0.3559322,0.2638889,1
0.48727274,0.4642857,0.40677965,0.22222222,1
0.10545454,0.5714286,0.30508474,0.20833333,0
0.61454546,0.35714287,0.7457627,0.7916667,2
0.3272727,0.60714287,0.33898306,0.375,0
0.6690909,0.25,0.7457627,0.6388889,2
0.2581818,0.6547619,0.30508474,0.43055555,0
0.15272728,0.7619048,0.30508474,0.30555555,0
0.14181818,0.64285713,0.23728813,0.11111111,0
